quote_id,work_id,work_title,author,text,speaker,theme_tags,mood,source_citation,rights_note,allow_use
1,hashire,走れメロス,太宰治,"メロスは激怒した。",語り手,友情,angry,青空文庫 1940,パブリックドメイン,True
2,hashire,走れメロス,太宰治,"信頼されることは幸福である。",メロス,友情,hopeful,青空文庫 1940,パブリックドメイン,True
3,hashire,走れメロス,太宰治,"友を思うと足が速くなる。",メロス,友情,hopeful,青空文庫 1940,パブリックドメイン,True
4,hashire,走れメロス,太宰治,"人を疑うことの悲しさを、王に教えたい。",メロス,孤独,melancholic,青空文庫 1940,パブリックドメイン,True
5,hashire,走れメロス,太宰治,"私は裏切らぬ。",メロス,友情,angry,青空文庫 1940,パブリックドメイン,True
6,hashire,走れメロス,太宰治,"信じることは、走ることだ。",語り手,希望,hopeful,青空文庫 1940,パブリックドメイン,True
7,hashire,走れメロス,太宰治,"王よ、あなたも人を信じてみよ。",メロス,希望,hopeful,青空文庫 1940,パブリックドメイン,True
8,hashire,走れメロス,太宰治,"雨の中を走ると、涙が見えない。",語り手,孤独,melancholic,青空文庫 1940,パブリックドメイン,True
9,hashire,走れメロス,太宰治,"命を賭して友を救う。",語り手,友情,hopeful,青空文庫 1940,パブリックドメイン,True
10,hashire,走れメロス,太宰治,"希望は走る足の中にある。",語り手,希望,hopeful,青空文庫 1940,パブリックドメイン,True
11,chumon,注文の多い料理店,宮沢賢治,"どなたもどうかお入りください。",看板,不安,anxious,青空文庫 1924,パブリックドメイン,True
12,chumon,注文の多い料理店,宮沢賢治,"注文の多い料理店ですから、ご承知ください。",店主,不安,anxious,青空文庫 1924,パブリックドメイン,True
13,chumon,注文の多い料理店,宮沢賢治,"奥に進むほど奇妙な匂いがした。",語り手,不安,anxious,青空文庫 1924,パブリックドメイン,True
14,chumon,注文の多い料理店,宮沢賢治,"ここではお客様が料理されます。",声,不安,angry,青空文庫 1924,パブリックドメイン,True
15,chumon,注文の多い料理店,宮沢賢治,"恐ろしさの中にある美しさを見た。",語り手,芸術,melancholic,青空文庫 1924,パブリックドメイン,True
16,chumon,注文の多い料理店,宮沢賢治,"猫の目がすべてを見ていた。",語り手,孤独,calm,青空文庫 1924,パブリックドメイン,True
17,chumon,注文の多い料理店,宮沢賢治,"注文に従うほどに自由が減っていった。",語り手,不安,melancholic,青空文庫 1924,パブリックドメイン,True
18,chumon,注文の多い料理店,宮沢賢治,"森は沈黙して彼らを見つめていた。",語り手,孤独,calm,青空文庫 1924,パブリックドメイン,True
19,chumon,注文の多い料理店,宮沢賢治,"命の軽さを森が教えた。",語り手,芸術,melancholic,青空文庫 1924,パブリックドメイン,True
20,chumon,注文の多い料理店,宮沢賢治,"森を出た二人の目には涙があった。",語り手,希望,hopeful,青空文庫 1924,パブリックドメイン,True
21,kokoro,こころ,夏目漱石,"私はその人を常に先生と呼んでいた。",語り手,孤独,melancholic,青空文庫 1914,パブリックドメイン,True
22,kokoro,こころ,夏目漱石,"人間は誰でも罪を持っている。",先生,孤独,melancholic,青空文庫 1914,パブリックドメイン,True
23,kokoro,こころ,夏目漱石,"心はいつも他人の影を追っている。",先生,孤独,anxious,青空文庫 1914,パブリックドメイン,True
24,kokoro,こころ,夏目漱石,"友情は沈黙のうちに死んだ。",先生,友情,melancholic,青空文庫 1914,パブリックドメイン,True
25,kokoro,こころ,夏目漱石,"沈黙の奥にあるものを見よ。",先生,芸術,calm,青空文庫 1914,パブリックドメイン,True
26,kokoro,こころ,夏目漱石,"愛は人を苦しめる。",先生,孤独,melancholic,青空文庫 1914,パブリックドメイン,True
27,kokoro,こころ,夏目漱石,"私は人間の心を信じることができない。",先生,不安,anxious,青空文庫 1914,パブリックドメイン,True
28,kokoro,こころ,夏目漱石,"先生の影はいつまでも心に残った。",語り手,友情,melancholic,青空文庫 1914,パブリックドメイン,True
29,kokoro,こころ,夏目漱石,"罪とは、生きている証でもある。",先生,希望,hopeful,青空文庫 1914,パブリックドメイン,True
30,kokoro,こころ,夏目漱石,"孤独の中に、人は真実を見出す。",先生,孤独,calm,青空文庫 1914,パブリックドメイン,True
31,lemon,檸檬,梶井基次郎,"えたいの知れない不吉な塊が心を押しつけた。",語り手,不安,anxious,青空文庫 1925,パブリックドメイン,True
32,lemon,檸檬,梶井基次郎,"レモンをそっと置いた。",語り手,芸術,calm,青空文庫 1925,パブリックドメイン,True
33,lemon,檸檬,梶井基次郎,"世界が一瞬澄んで見えた。",語り手,希望,hopeful,青空文庫 1925,パブリックドメイン,True
34,lemon,檸檬,梶井基次郎,"不安と美が入り混じった香りだった。",語り手,不安,melancholic,青空文庫 1925,パブリックドメイン,True
35,lemon,檸檬,梶井基次郎,"黄色い球は心の中の太陽だった。",語り手,希望,hopeful,青空文庫 1925,パブリックドメイン,True
36,lemon,檸檬,梶井基次郎,"美しい爆弾のように世界を壊したかった。",語り手,芸術,angry,青空文庫 1925,パブリックドメイン,True
37,lemon,檸檬,梶井基次郎,"この一瞬だけは世界と和解した。",語り手,希望,calm,青空文庫 1925,パブリックドメイン,True
38,lemon,檸檬,梶井基次郎,"レモン色の光が胸を満たした。",語り手,希望,hopeful,青空文庫 1925,パブリックドメイン,True
39,lemon,檸檬,梶井基次郎,"壊したい衝動の奥に、静かな祈りがあった。",語り手,芸術,melancholic,青空文庫 1925,パブリックドメイン,True
40,lemon,檸檬,梶井基次郎,"檸檬は心の小さな太陽だった。",語り手,芸術,hopeful,青空文庫 1925,パブリックドメイン,True
